group,straightness,dev_ratio,peak_mean_v_ratio,time_to_peak_frac,reversals
human,0.9635909382878226,0.11749022163583277,1.1938569956160436,0.972972972972973,0
human,0.9666629001985367,0.10732196436939091,1.1137335400966561,0.45454545454545453,0
human,0.966860712563791,0.1151995929367432,1.0813659258937114,0.0,0
human,0.9725169418559632,0.10723759988985221,1.1494412035986552,0.0,0
human,0.9720335905259925,0.1025248945090711,1.0428747708312258,0.41379310344827586,0
human,0.9617775879519515,0.1185663837676315,1.1878912019701588,0.0,1
human,0.9710932381588836,0.10420941360254689,1.0528991834156405,0.84,0
human,0.9861147560997608,0.07436488645352728,1.1370169922854219,0.0,0
human,0.9768917266821434,0.09121400147502917,1.0715631677990476,0.5454545454545454,0
human,0.9852517219292435,0.0756112342125214,1.1821427543261243,0.96,0
human,0.9868273339174926,0.07248877750722857,1.1698792754484724,0.9583333333333334,0
human,0.9782111130766353,0.09419409409827478,1.194009266501935,0.0,0
human,0.9737284136000264,0.10055079753892317,1.0647528912582316,0.9705882352941176,0
human,0.967653151702698,0.1081424213152581,1.0781526446721783,0.5,0
human,0.9556583871834564,0.12932043339052537,1.0836047853500363,0.09090909090909091,0
human,0.9673378107530974,0.11503623519669103,1.1679121554012835,0.975609756097561,0
human,0.9841999622943527,0.07414364814920839,1.0941455442707868,0.44,0
human,0.9652251259771425,0.1152088422527014,1.041807838164169,0.23076923076923078,0
human,0.9689606619585726,0.11164196858263785,1.090342420928047,0.0,0
human,0.9741701746217825,0.09319445500503977,1.1236253331527835,0.47058823529411764,0
human,0.9704367284326174,0.10085467108057347,1.1100800861449112,0.4222222222222222,0
human,0.9671531914663707,0.10727899685221715,1.0939290728109259,0.6285714285714286,0
human,0.9642046512806538,0.11303117827686406,1.0894315649465283,0.4782608695652174,0
human,0.9742952764149599,0.0996301059558977,1.203929915360588,0.0,0
human,0.9678489744304153,0.1080403591056874,1.0683557763756832,0.35294117647058826,0
human,0.9723991662466787,0.10227790210211211,1.1426315727155572,0.0,0
human,0.957932646679363,0.12980379457188948,1.1790089465815825,0.9375,1
human,0.973477708334095,0.0957492086726449,1.0961424486379558,0.6842105263157895,0
human,0.9811811961754467,0.08130495466635893,1.10832560938456,0.25,1
human,0.9754909262950198,0.09867866048452875,1.0820851395868103,0.9444444444444444,0
human,0.967427364782923,0.10887749017478086,1.0831497025073908,0.5405405405405406,0
human,0.9722559376202934,0.10338348736724638,1.1839444601661626,0.9833333333333333,0
human,0.9739929178711569,0.09787733106106235,1.0493492125444626,0.36363636363636365,0
human,0.9706998760876745,0.10638218033126155,1.1289334959441695,0.9655172413793104,0
human,0.9671511806123418,0.10970262305981426,1.069731224822055,0.43137254901960786,0
human,0.9754315028634302,0.09089185592570281,1.1201625126660997,0.5185185185185185,1
human,0.9681894201602117,0.107387658135098,1.0812511406351206,0.6052631578947368,0
human,0.981820008670737,0.08149446130249823,1.1429358334811388,0.0,0
human,0.9841574059150394,0.07873680791483907,1.132615675912675,0.9090909090909091,0
human,0.969907084048592,0.10803785036131898,1.0168191721737134,0.9696969696969697,1
human,0.9744239492275049,0.09701559426126476,1.0473628193842757,0.4444444444444444,0
human,0.9740714517731157,0.10182547312526317,1.1684254101322442,0.9411764705882353,0
human,0.9741118227788087,0.09995507498061212,1.1490000345205869,0.9444444444444444,0
